loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date_year,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault,issue_date_month,issue_date_day
2028667216,7335,0,3,1,0,B,5,2,9,1,1,2014,0,320,13,0,0,1,1,9,1,1,0,0,1,0,284,0,1,3,0,2,14,8,0,852,0,80,5,1
364,7692,2,5,1,1,C,4,1,10,1,0,2015,0,164,20,0,0,0,1,12,0,0,0,1,1,0,309,0,1,6,0,42,11,6,0,0,0,1,8,1
2035277696,4340,1,3,2,1,C,5,1,9,0,1,2013,0,29,19,0,0,0,0,8,1,1,0,3,1,0,257,70,1,4,0,6,8,6,0,0,0,235,9,1
364,7376,1,3,1,1,C,3,7,9,1,0,2016,0,2,2,0,0,3,2,26,0,0,0,0,1,0,506,0,1,16,0,10,35,15,3,990,0,120,3,1
0,5728,0,3,0,0,A,2,10,6,0,0,2015,0,230,2,0,0,3,3,12,0,0,0,0,0,0,230,0,1,5,0,4,16,9,3,2532,0,108,5,1
0,4658,0,3,0,0,B,2,4,8,0,1,2017,4,476,5,0,0,1,1,6,0,0,0,3,0,0,286,4,1,4,0,4,6,1,3,1207,0,1,1,1
0,3413,1,5,3,1,G,4,2,3,0,1,2015,0,77,7,0,0,0,0,16,0,0,0,1,1,0,441,0,1,12,0,21,17,6,0,0,0,0,1,1
0,4793,1,3,2,1,C,5,5,7,1,1,2016,0,404,22,0,0,0,0,16,0,0,0,1,1,0,275,0,1,5,0,30,16,4,1,4221,0,0,5,1
0,5155,1,3,1,1,B,4,2,2,0,1,2015,4,51,13,0,3,0,1,14,0,0,0,0,0,0,302,4,1,4,0,9,33,32,2,5181,0,128,11,1
0,4495,2,3,2,4,D,2,8,9,1,1,2016,4,277,8,4,0,1,1,7,0,0,0,2,1,1,418,4,1,3,0,3,5,3,0,0,0,223,12,1
0,3995,1,3,1,1,B,4,6,10,0,0,2013,0,23,9,0,0,0,1,7,0,0,0,2,1,0,333,193,1,3,0,8,14,8,3,2375,0,79,10,1
0,4048,0,3,1,0,C,2,9,9,1,1,2015,0,233,19,0,0,3,3,8,0,0,0,1,1,0,400,0,1,6,0,7,6,2,1,3411,0,121,7,1
0,7123,2,3,0,2,A,3,7,3,0,1,2015,4,64,14,0,0,1,1,3,0,0,0,0,0,0,338,4,1,0,0,1,5,5,0,0,0,108,1,1
0,4485,2,3,2,2,D,2,12,1,1,1,2014,0,255,9,0,1,1,1,9,0,0,0,2,1,0,316,0,1,8,0,3,10,7,2,8272,0,1,4,1
0,4966,2,3,1,2,B,3,3,7,0,1,2015,0,371,7,0,0,0,0,12,0,0,0,2,1,0,417,0,1,6,0,4,9,6,0,0,0,0,11,1
0,4983,2,3,0,2,A,4,7,10,0,1,2013,4,331,8,0,0,0,0,13,1,1,0,2,1,0,261,104,1,3,0,9,17,11,1,10525,0,0,11,1
0,3982,1,5,2,0,C,2,4,7,0,1,2015,0,324,10,0,0,1,1,13,0,0,0,1,0,0,175,0,1,6,0,8,13,5,1,760,0,0,1,1
0,4864,2,5,1,1,C,2,2,2,1,0,2015,4,664,39,0,0,0,0,13,0,0,0,2,0,0,261,4,1,4,0,14,14,7,0,0,0,0,10,1
0,7006,2,5,2,2,D,2,2,9,0,1,2015,0,36,13,0,0,0,0,22,0,0,0,2,0,0,277,0,1,14,0,5,33,19,2,12968,0,0,11,1
