loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,early_return_amount_3mon,isDefault,guess
1032648,232648,21818.2,3,12.639,791.32,B,普通企业,住宿和餐饮业,10+ years,1,1,2016/6/1,0,99,8,3.14545,0,560.455,607.159,10,2,1,27989.2,66.9846,0,0,1-Dec,0,1,9,0,5,12,5,0,0,0,1,0
1034270,234270,11345.5,3,9.819,313.89,B,高等教育机构,交通运输、仓储和邮政业,10+ years,0,1,2017/8/1,0,356,32,18.28,0,670,781.667,7,1,1,5919.23,16.2462,0,0,Nov-85,0,1,4,0,6,10,5,2,73,21.9,0,0
1012707,212707,6500,3,6.62,199.58,A,世界五百强,金融业,6 years,0,0,2014/1/1,4,778,2,19.32,0,548.182,685.227,7,0,0,6768,38.0769,1,0,Oct-67,4,1,3,0,5,10,6,0,0,0,1,0
1043716,243716,7200,3,16.59,255.24,D,幼教与中小学校,住宿和餐饮业,10+ years,1,1,2016/1/1,0,51,13,21.1309,0,540,675,8,0,0,411675,87.4154,1,0,Nov-92,0,1,6,0,1,13,8,2,706,0,0,0
1000825,200825,11781.8,3,10.989,464.58,B,普通企业,金融业,4 years,1,0,2015/4/1,0,62,13,27.14,0,650,704.167,19,0,0,11614,43.2,1,0,5-May,0,1,7,0,31,19,6,3,6069,0,0,0
1042183,242183,15081.8,3,13.779,481.35,C,普通企业,交通运输、仓储和邮政业,10+ years,1,1,2016/6/1,0,353,30,18,0,548.182,639.545,7,1,0,7729,55.2,0,0,11-Jun,0,1,3,0,4,5,3,2,914,274.2,0,0
1014219,214219,8922.73,3,14.049,263.99,D,政府机构,制造业,8 years,1,1,2015/10/1,0,641,13,26.9673,0,677.273,790.152,13,0,0,8638.85,20.2154,0,0,4-Jan,0,1,4,0,6,14,7,0,0,0,0,0
1048367,248367,5727.27,3,9.064,220.14,B,普通企业,公共服务、社会组织,10+ years,0,0,2017/2/1,0,190,17,5.17091,0,665,775.833,3,0,0,6685.85,32.3077,1,0,Nov-99,0,1,2,0,6,8,3,0,3183,0,0,0
1023963,223963,17375,5,31.559,548.25,F,普通企业,农、林、牧、渔业,10+ years,0,1,2017/3/1,0,92,18,23.8827,1,613.636,767.045,16,0,0,25323.8,64.9615,0,0,Jul-92,0,1,14,0,4,17,8,1,577,173.1,0,0
1040170,240170,5454.55,3,12.015,169.32,C,普通企业,电力、热力生产供应业,4 years,0,0,2014/6/1,0,33,22,18.7182,2,675,787.5,14,0,0,6602.31,36.7231,0,0,Jun-91,0,1,4,0,7,15,7,0,1672,334.4,0,0
