loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,employer_type,industry,work_year,house_exist,censor_status,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,known_outstanding_loan,known_dero,pub_dero_bankrup,recircle_b,recircle_u,initial_list_status,app_type,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,early_return,early_return_amount,isDefaultearly_return_amount_3mon
1038807,238807,1590.91,3,12.837,57.85,B,幼教与中小学校,金融业,Optional Null,1,1,2014/5/1,0,320,13,3.65727,0,675,787.5,9,1,1,2036.54,13.5,1,0,Apr-82,0,1,3,0,2,14,8,0,852,1
1003081,203081,19636.4,5,11.061,483.66,C,政府机构,国际组织,8 years,1,0,2015/8/1,0,164,20,24.8909,0,593.182,741.477,12,0,0,10992.9,41.8,1,0,Sep-96,0,1,6,0,42,11,6,0,0,0
1031459,231459,14625,3,16.742,430.32,C,幼教与中小学校,国际组织,10+ years,0,1,2013/9/1,0,29,19,18.4582,0,556.364,649.091,8,1,1,3703.38,81.2308,1,0,Aug-99,70,1,4,0,6,8,6,0,0,0
1041412,241412,18327.3,3,13.189,557.93,C,上市企业,文化和体育业,10+ years,1,0,2016/3/1,0,2,2,29.15,0,763.636,890.909,26,0,0,19130,21.2154,1,0,Dec-94,0,1,16,0,10,35,15,3,990,1
1029406,229406,7000,3,5.32,210.81,A,普通企业,建筑业,3 years,0,0,2015/5/1,0,230,2,6.31,0,780,975,12,0,0,10250.2,15.1154,0,0,3-Jan,0,1,5,0,4,16,9,3,2532,1
1020222,220222,3681.82,3,8.24,141.52,B,普通企业,电力、热力生产供应业,7 years,0,1,2017/1/1,4,476,5,22.8818,0,645.455,699.242,6,0,0,6615.69,75.4,0,0,Mar-97,4,1,4,0,4,6,1,3,1207,1
1011958,211958,16363.6,5,26.06,599.53,G,政府机构,金融业,4 years,0,1,2015/1/1,0,77,7,10.7345,0,556.364,649.091,16,0,0,9213,47.4923,1,0,Nov-97,0,1,12,0,21,17,6,0,0,0
1036961,236961,15363.6,3,16.841,452.63,C,幼教与中小学校,批发和零售业,1 year,1,1,2016/5/1,0,404,22,7.22727,0,540,675,16,0,0,9247.38,42.4615,1,0,Sep-92,0,1,5,0,30,16,4,1,4221,1
1016105,216105,10909.1,3,10.989,387.15,B,政府机构,金融业,< 1 year,0,1,2015/11/1,4,51,13,8.73818,3,600,700,14,0,0,14008.6,10.3846,0,0,2-Jul,4,1,4,0,9,33,32,2,5181,0
1042902,242902,28636.4,3,21.49,1327.45,D,普通企业,采矿业,Optional Null,1,1,2016/12/1,4,277,8,999,0,622.727,778.409,7,0,0,12700.2,69.0308,1,1,12-Dec,4,1,3,0,3,5,3,0,0,0
1048054,248054,13636.4,3,13.67,510.27,B,政府机构,房地产业,8 years,0,0,2013/10/1,0,23,9,5.1,0,609.091,761.364,7,0,0,11450.9,58.6923,1,0,Jun-99,193,1,3,0,8,14,8,3,2375,1
1032894,232894,7909.09,3,13.33,245.44,C,普通企业,交通运输、仓储和邮政业,Optional Null,1,1,2015/7/1,0,233,19,25.6909,0,763.636,954.545,8,0,0,3835.38,46.1538,1,0,10-Dec,0,1,6,Optional Null,7,6,2,1,3411,1
1036965,236965,19636.4,3,7.49,746.44,A,上市企业,文化和体育业,4 years,0,1,2015/1/1,4,64,14,9.84,0,625.909,782.386,3,0,0,0,0,0,0,Aug-98,4,1,0,0,1,5,5,0,0,0
1036127,236127,25438.6,3,19.327,773.55,D,普通企业,公共服务、社会组织,6 years,1,1,2014/4/1,0,255,9,7.40909,1,670,725.833,9,0,0,14931.9,50.8308,1,0,Nov-86,0,1,8,0,3,10,7,2,8272,1
1033976,233976,24000,3,12.089,785.62,B,上市企业,住宿和餐饮业,1 year,0,1,2015/11/1,0,371,7,20.8636,0,544.091,634.773,12,0,0,25982.9,68.7,1,0,11-Jan,0,1,6,0,4,9,6,0,0,0
1027850,227850,21818.2,3,8.01,762.08,A,政府机构,文化和体育业,8 years,0,1,2013/11/1,4,331,8,13.7127,0,580.909,629.318,13,1,1,15887.3,66.2308,1,0,1-Mar,104,1,3,0,9,17,11,1,10525,0
1001489,201489,16072.7,5,16.489,323.48,C,普通企业,电力、热力生产供应业,1 year,0,1,2015/1/1,0,324,10,9.19091,0,680,793.333,13,0,0,13546.2,47.3538,0,0,6-Jun,0,1,6,0,8,13,5,1,760,0
1014285,214285,27772.7,5,11.421,530.98,C,普通企业,金融业,< 1 year,1,0,2015/10/1,4,664,39,20.17,0,560.455,653.864,13,0,0,29706.9,68.8,0,0,1-Mar,4,1,4,0,14,14,7,0,0,0
1003363,203363,24545.5,5,18.205,738.34,D,普通企业,金融业,10+ years,0,1,2015/11/1,0,36,13,25.6173,0,568.636,663.409,22,0,0,45518,49.8462,0,0,Jan-89,0,1,14,0,5,33,19,2,12968,0
1049997,249997,22909.1,3,11.49,692.4,B,政府机构,房地产业,10+ years,1,0,2016/11/1,0,197,4,17.84,0,597.273,696.818,11,0,0,51753.5,60.5,0,0,May-92,0,1,4,0,9,10,6,0,3978,1
1031445,231445,10800,3,12.303,367.39,C,普通企业,住宿和餐饮业,2 years,1,0,2016/3/1,0,64,14,21.9273,0,600,650,8,0,0,4233.46,58.2,0,0,5-Apr,0,1,2,0,15,3,2,0,0,0
1048620,248620,5454.55,3,10.99,196.41,B,普通企业,建筑业,< 1 year,1,1,2016/8/1,2,172,13,9.69818,0,604.545,705.303,7,2,0,3608.77,77.3077,0,0,4-Sep,5,1,5,0,6,5,4,1,1077,1
1029083,229083,8181.82,3,13.332,332.72,B,普通企业,信息传输、软件和信息技术服务业,3 years,1,0,2012/7/1,4,177,26,23.06,0,690,747.5,14,0,0,13638,72.7385,1,0,4-Oct,56353,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,1,4192,1
1038079,238079,5318.18,3,5.32,195.75,A,上市企业,交通运输、仓储和邮政业,< 1 year,1,0,2015/6/1,4,423,4,20.3455,0,731.818,853.788,23,0,0,2343.38,3.23077,0,0,Oct-93,4,1,4,0,7,28,16,3,2874,1
1010455,210455,8181.82,5,17.991,264.89,D,政府机构,电力、热力生产供应业,10+ years,0,1,2016/12/1,0,13,10,20.28,0,568.636,616.023,8,1,1,3756,52.8,0,0,2-Aug,0,1,4,0,8,5,3,3,4027,1
1017597,217597,23636.4,3,9.009,628.49,A,幼教与中小学校,电力、热力生产供应业,3 years,0,1,2014/12/1,4,14,11,13.3909,0,747.273,809.545,8,0,0,21702.2,93,0,0,1-Aug,4,1,4,0,8,15,6,0,0,0
1027650,227650,17454.5,3,11.49,633.05,B,政府机构,交通运输、仓储和邮政业,10+ years,1,0,2016/6/1,0,503,8,15.1636,1,720,780,12,2,1,6389.54,76.0308,0,0,Mar-89,0,1,6,0,8,17,11,0,0,0
1015714,215714,15709.1,3,8.67,607.62,B,政府机构,信息传输、软件和信息技术服务业,1 year,1,0,2014/11/1,0,32,21,8.34,4,552.273,690.341,7,0,0,6732.92,84.5,0,0,Oct-99,0,1,2,0,12,9,8,0,6037,0
1020441,220441,18181.8,3,7.89,625.72,A,政府机构,公共服务、社会组织,10+ years,0,1,2015/3/1,0,329,18,10.92,0,715,774.583,3,0,0,18527.4,99.6154,1,0,Apr-98,0,1,2,0,3,9,4,2,6639,1
1040455,240455,4363.64,3,15.741,164.78,C,世界五百强,金融业,10+ years,0,1,2014/11/1,0,31,2,17.3291,2,540,630,10,0,0,2850,25.3077,1,0,May-87,0,1,3,0,5,24,17,3,1516,0
1024499,224499,33031.8,5,17.991,740.35,E,普通企业,信息传输、软件和信息技术服务业,4 years,0,1,2015/9/1,0,122,9,25.8909,0,725.455,785.909,15,0,0,72120.5,88.6154,1,0,4-Jul,0,1,11,0,8,22,18,0,0,0
1017319,217319,8000,3,17.171,279.72,D,政府机构,采矿业,10+ years,1,1,2014/11/1,0,38,21,36.1364,0,774.545,968.182,7,0,0,5888.62,33.6,0,0,Jul-99,0,1,4,0,4,21,14,0,0,0
1028446,228446,13236.4,3,15.389,382.74,C,政府机构,信息传输、软件和信息技术服务业,7 years,1,1,2012/6/1,0,35,14,36.5345,0,730.909,791.818,10,0,0,8246,50.0769,1,0,Sep-00,38,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,3,4144,1
1024825,224825,5454.55,3,8.679,156.43,A,普通企业,国际组织,10+ years,0,0,2016/3/1,4,311,2,15.2909,0,609.091,761.364,7,3,3,1581.23,25.1077,0,0,Jul-89,2,1,3,0,10,13,6,0,0,0
1010629,210629,8775,3,18.205,310.9,D,世界五百强,电力、热力生产供应业,Optional Null,1,1,2015/8/1,0,361,8,27.4545,0,730,790.833,7,0,0,4087.38,23.7692,0,0,11-Feb,0,1,3,0,2,6,3,0,0,0
1026690,226690,2727.27,3,10.923,80.59,B,普通企业,房地产业,8 years,1,0,2017/6/1,9,313,43,13.5,0,552.273,644.318,7,1,1,5748.92,66.8308,0,0,4-Oct,10,1,4,0,6,11,6,3,104,0
1003151,203151,6545.45,3,15.389,273.39,C,政府机构,公共服务、社会组织,1 year,1,1,2015/5/1,0,4,3,10.1909,0,715,893.75,3,0,0,1082,49.9615,0,0,8-Aug,0,1,2,0,4,6,3,3,252,1
1018169,218169,12272.7,5,21.989,397.33,E,普通企业,批发和零售业,10+ years,0,1,2015/8/1,2,56,8,14.0509,0,600,700,11,1,0,5943.69,37.4769,1,0,3-Jul,5,1,5,0,14,14,11,5,4149,1
1013927,213927,11454.5,3,7.69,327.54,A,普通企业,公共服务、社会组织,7 years,1,1,2014/7/1,4,143,8,15.0982,0,645.455,806.818,8,0,0,7111.38,59.2615,0,0,Oct-94,4,1,4,0,11,10,4,0,0,0
1028898,228898,26400,5,18.891,654.56,E,世界五百强,交通运输、仓储和邮政业,10+ years,0,1,2015/10/1,0,130,33,20.29,0,774.545,968.182,9,0,0,28078.2,84.5769,0,0,Jun-00,0,1,6,0,3,13,11,0,0,0
1022154,222154,21818.2,3,11.39,658.48,B,政府机构,房地产业,2 years,1,0,2016/11/1,4,188,23,20.86,0,715,893.75,28,0,0,21935.8,27.9231,1,0,10-Aug,4,1,10,0,12,21,18,0,6329,1
1010404,210404,5454.55,3,7.101,187.72,A,普通企业,电力、热力生产供应业,10+ years,1,0,2016/4/1,5,4,3,13.0818,0,765,892.5,14,0,0,6838.85,17.1923,1,0,2-Jul,6,1,6,0,4,14,10,0,1048,1
1015829,215829,8727.27,3,12.001,261.57,B,普通企业,交通运输、仓储和邮政业,8 years,0,1,2017/7/1,2,166,8,6.1,0,725.455,906.818,10,0,0,9468,59.4462,0,0,11-Jan,5,1,4,0,4,12,5,3,120,1
1001142,201142,14545.5,3,14.069,537.49,C,政府机构,信息传输、软件和信息技术服务业,10+ years,1,1,2016/7/1,2,29,19,21.73,0,774.545,839.091,8,8,3,2558,13.3846,0,0,Jul-96,5,1,3,0,5,9,4,3,6615,1
1009697,209697,9000,3,15.61,314.69,D,普通企业,房地产业,< 1 year,0,0,2015/10/1,0,588,4,12.3955,0,747.273,809.545,8,0,0,2721.23,37.6923,1,0,8-Jan,0,1,6,Optional Null,2,11,6,0,0,0
1017292,217292,9600,3,14.663,324.99,C,普通企业,公共服务、社会组织,2 years,1,1,2015/8/1,5,469,27,20.09,0,725.455,906.818,8,0,0,11117.1,88.9538,0,0,9-Dec,6,1,5,0,8,8,3,0,1825,1
1010031,210031,14743.2,3,13.59,433.07,C,普通企业,电力、热力生产供应业,2 years,1,1,2013/11/1,0,140,8,22.4455,0,675,787.5,26,1,0,23983.8,70.3846,0,0,Sep-90,299,1,18,0,9,27,20,3,4758,0
1041497,241497,4363.64,3,9.79,152.42,A,政府机构,电力、热力生产供应业,7 years,0,0,2011/10/1,5,176,3,13.7373,0,774.545,839.091,10,0,0,52442.3,90.2308,1,0,Aug-98,2079,1,Optional Null,Optional Null,Optional Null,Optional Null,Optional Null,0,0,0
1002827,202827,2954.55,3,13.959,83.87,C,政府机构,公共服务、社会组织,2 years,0,0,2015/4/1,0,195,38,15.7091,0,552.273,644.318,4,0,0,7177.69,101.192,1,0,10-Mar,0,1,2,0,3,5,1,0,0,0
